Country,Countrycode2,Countrycode3,Year,POP,Incomegroup,Mean,Median,Gini,Source,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Q1,Q2,Q3,Q4,Q5,P5,P95,Revision,Quality,Region,Currency,Reference_period,Welfaredefn,Currency_Unit,IncSharU,UofAnala,Equivsc,AreaCovr,PopCovr,AgeCovr,isEu,isOECD,exchrate_penn
Mexico,MX,MEX,2010,114092960,Upper middle income,30917,19974,49.8,Luxembourg Income Study,1.12,2.57,3.66,4.68,5.82,7.2,8.93,11.48,16.16,38.37,3.7,8.35,13.02,20.41,54.53,0.33,26.39,New 2019,High,Americas,Mexican peso,Year,Income (net),,Household,Person,Per capita,All,All,All,,true,
Mexico,MX,MEX,2010,114092960,Upper middle income,,,51,United Nations,1.3,2.5,3.5,4.5,5.6,6.9,8.5,11,15.9,40.2,3.8,8,12.5,19.5,56.1,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,true,
Mexico,MX,MEX,2010,117318941,Upper middle income,,,48.8,Research study,,,,,,,,,,,,,,,,,,New 2013,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,true,0.079138916
Panama,PA,PAN,2010,3642691,High income,2792,1793,51.5,Luxembourg Income Study,0.98,2.07,3.27,4.45,5.73,7.13,9.06,11.77,16.72,38.82,3.05,7.72,12.86,20.82,55.55,0.35,26.42,New 2019,High,Americas,Panamanian balboa,Year,Income (net),,Household,Person,Per capita,All,All,All,,,
Paraguay,PY,PRY,2010,6248017,Upper middle income,9793753,6026798,53.6,Luxembourg Income Study,0.99,2.18,3.14,4.26,5.45,6.85,8.58,10.96,15.4,42.19,3.17,7.41,12.3,19.54,57.58,0.33,30.57,New 2019,High,Americas,Paraguayan guarani,Year,Income (net),,Household,Person,Per capita,All,All,All,,,
Paraguay,PY,PRY,2010,6248017,Upper middle income,,,52.7,United Nations,1.1,2.3,3.3,4.3,5.5,6.9,8.6,11,15.4,41.6,3.4,7.6,12.4,19.6,57,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Peru,PE,PER,2010,29027680,Upper middle income,5522,3838,49.5,Luxembourg Income Study,0.74,2.04,3.39,4.79,6.21,7.81,9.82,12.46,16.79,35.94,2.79,8.18,14.02,22.29,52.73,0.2,24.26,New 2019,High,Americas,Peruvian nuevo sol,Year,Income (net),,Household,Person,Per capita,All,All,All,,,
Peru,PE,PER,2010,29027680,Upper middle income,,,47.1,United Nations,1.4,2.6,3.8,5,6.3,7.7,9.6,12.1,16.2,35.4,4,8.8,14,21.7,51.6,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
United States,US,USA,2010,309011456,High income,22282,17386,40,Luxembourg Income Study,1.81,3.52,4.69,5.86,7.12,8.58,10.29,12.58,16.27,29.28,5.33,10.55,15.7,22.88,45.55,0.59,18.59,New 2019,High,Americas,United States dollar,Year,Income (net),,Household,Person,Per capita,All,All,All,,,
Uruguay,UY,URY,2010,3359273,High income,110192,76411,43.7,Luxembourg Income Study,2.16,3.28,4.23,5.22,6.34,7.64,9.42,11.94,16.28,33.49,5.44,9.45,13.99,21.35,49.77,0.89,22,New 2019,High,Americas,Uruguayan peso,Year,Income (net),,Household,Person,Per capita,All,All,All,,,
Uruguay,UY,URY,2010,3359273,High income,,,43.8,United Nations,2.1,3.2,4.2,5.2,6.4,7.7,9.5,12,16.4,33.3,5.3,9.4,14.1,21.5,49.7,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Uruguay,UY,URY,2010,3359273,High income,,,43.8,United Nations,2.1,3.2,4.2,5.2,6.3,7.7,9.5,12.1,16.4,33.2,5.3,9.4,14,21.6,49.6,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,Urban,All,All,,,
Venezuela,VE,VEN,2010,28439942,Upper middle income,,,36.4,United Nations,2.4,4.1,5.3,6.3,7.4,8.6,9.9,12.9,16,27.2,6.5,11.6,16,22.8,43.2,,,New 2019,High,Americas,,,Income (net),,Household,Person,Per capita,All,All,All,,,
Canada,CA,CAN,2010,34147568,High income,42044,36712,31.8,Luxembourg Income Study,2.81,4.63,5.82,6.96,8.14,9.35,10.67,12.39,14.97,24.27,7.44,12.78,17.49,23.06,39.24,1.02,15.13,New 2019,High,Americas,Canadian Dollar,Year,Income (net),,Household,Person,Equivalized,All,All,All,,true,
Canada,CA,CAN,2010,34168668,High income,47900,42400,31.5,National statistical authority,2.7,4.6,5.8,7,8.2,9.5,10.8,12.5,15.1,23.7,7.3,12.8,17.7,23.3,38.8,,,New 2018,High,Americas,Canadian dollar 2016,Year,Income (net),,Household,Person,Equivalized,All,All,All,,true,0.970720372
Canada,CA,CAN,2010,34168668,High income,41765,36733,31.6,OECD,,,,,,,,,,,,,,,,,,New 2018,High,Americas,"Local currency units, at current prices",Year,Income (net),,Household,Person,Equivalized,All,All,All,,true,1.030162783
Colombia,CO,COL,2010,45222700,Upper middle income,7435909,4620000,50.8,Luxembourg Income Study,1.13,2.58,3.61,4.55,5.6,6.97,8.72,11.3,16.06,39.48,3.71,8.16,12.57,20.02,55.55,0.32,27.51,New 2019,High,Americas,Colombian peso,Year,Income (net),,Household,Person,Equivalized,All,All,All,,,
Costa Rica,CR,CRI,2010,4545280,Upper middle income,4077557,2725461,47.2,OECD,,,,,,,,,,,,,,,,,,New 2018,High,Americas,"Local currency units, at current prices",Year,Income (net),,Household,Person,Equivalized,All,All,All,,,525.8292007
Mexico,MX,MEX,2010,114092960,Upper middle income,60946,42318,46.5,Luxembourg Income Study,1.29,2.87,4.02,5.14,6.31,7.64,9.39,11.91,16.25,35.18,4.16,9.16,13.95,21.3,51.43,0.39,23.56,New 2019,High,Americas,Mexican peso,Year,Income (net),,Household,Person,Equivalized,All,All,All,,true,
Mexico,MX,MEX,2010,117318941,Upper middle income,56205,39001,46.6,OECD,,,,,,,,,,,,,,,,,,New 2018,High,Americas,"Local currency units, at current prices",Year,Income (net),,Household,Person,Equivalized,All,All,All,,true,12.63600833
Panama,PA,PAN,2010,3642691,High income,5380,3692,48,Luxembourg Income Study,1.21,2.42,3.68,4.91,6.2,7.67,9.55,12.1,16.3,35.95,3.63,8.59,13.87,21.65,52.26,0.44,24.11,New 2019,High,Americas,Panamanian balboa,Year,Income (net),,Household,Person,Equivalized,All,All,All,,,
Paraguay,PY,PRY,2010,6248017,Upper middle income,20183100,13210000,50.9,Luxembourg Income Study,1.14,2.39,3.43,4.61,5.83,7.25,8.96,11.3,15.42,39.66,3.53,8.05,13.08,20.26,55.08,0.38,28.5,New 2019,High,Americas,Paraguayan guarani,Year,Income (net),,Household,Person,Equivalized,All,All,All,,,
Peru,PE,PER,2010,29027680,Upper middle income,11573,8350,48,Luxembourg Income Study,0.75,2.16,3.58,4.98,6.47,8.06,10.04,12.69,16.98,34.29,2.91,8.55,14.53,22.73,51.27,0.2,22.75,New 2019,High,Americas,Peruvian nuevo sol,Year,Income (net),,Household,Person,Equivalized,All,All,All,,,
United States,US,USA,2010,309011456,High income,36634,30246,36.9,Luxembourg Income Study,2.04,3.86,5.08,6.27,7.56,9.01,10.68,12.72,15.75,27.03,5.9,11.35,16.57,23.4,42.79,0.67,16.97,New 2019,High,Americas,United States dollar,Year,Income (net),,Household,Person,Equivalized,All,All,All,,,
United States,US,USA,2010,308641391,High income,35593,29056,38,OECD,,,,,,,,,,,,,,,,,,New 2018,High,Americas,"Local currency units, at current prices",Year,Income (net),,Household,Person,Equivalized,All,All,All,,,1
Uruguay,UY,URY,2010,3359273,High income,188806,138042,40,Luxembourg Income Study,2.6,3.8,4.76,5.68,6.72,7.97,9.57,11.86,15.77,31.26,6.41,10.44,14.7,21.42,47.04,1.08,20.31,New 2019,High,Americas,Uruguayan peso,Year,Income (net),,Household,Person,Equivalized,All,All,All,,,
Argentina,AR,ARG,2010,40895752,Upper middle income,,,,SEDLAC,1.64,3.03,4.18,5.36,6.71,8.32,10.17,12.67,16.93,31,4.67,9.54,15.02,22.84,47.93,,,New 2019,High,Americas,,,Income (net/gross),,Household,Person,Per capita,Urban,All,All,,,
Colombia,CO,COL,2010,45918097,Upper middle income,,,,SEDLAC,1.1,2.2,3.1,4,5,6.4,8.1,10.8,15.8,43.4,3.3,7.1,11.4,18.9,59.2,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.000526712
Costa Rica,CR,CRI,2010,4545280,Upper middle income,2438328,,,SEDLAC,1.6,2.9,3.8,4.7,5.8,7.1,8.8,11.5,16.7,37.1,4.5,8.5,12.9,20.3,53.8,,,New 2018,High,Americas,Local currency unit,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.001901758
Costa Rica,CR,CRI,2010,4545280,Upper middle income,,,,SEDLAC,1.4,2.7,3.6,4.5,5.6,6.9,8.7,11.5,16.8,38.4,4.1,8.1,12.5,20.2,55.2,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.001901758
Dominican Republic,DO,DOM,2010,9897985,Upper middle income,86088,,,SEDLAC,1.8,2.9,3.8,4.8,5.9,7.3,9.2,11.7,16.3,36.3,4.7,8.6,13.2,20.9,52.6,,,New 2018,High,Americas,Local currency unit,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.026804924
Ecuador,EC,ECU,2010,14934690,Upper middle income,2016,,,SEDLAC,1.5,2.7,3.7,4.7,5.8,7.2,8.9,11.6,16.4,37.5,4.2,8.4,13,20.5,53.9,,,New 2018,High,Americas,United States dollar,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,1
El Salvador,SV,SLV,2010,6164626,Lower middle income,1668,,,SEDLAC,1.9,3.2,4.3,5.4,6.5,7.9,9.6,11.9,16.2,33.2,5.1,9.7,14.4,21.5,49.4,,,New 2018,High,Americas,United States dollar,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,1
Honduras,HN,HND,2010,8194778,Lower middle income,30696,,,SEDLAC,1.1,2.1,3,4.1,5.3,6.8,8.9,11.8,16.9,40.2,3.2,7.1,12.1,20.7,57.1,,,New 2018,High,Americas,Local currency unit,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.052923774
Mexico,MX,MEX,2010,117318941,Upper middle income,32352,,,SEDLAC,1.7,3,4,5,6,7.2,8.9,11.4,15.8,37.1,4.7,9,13.2,20.3,52.9,,,New 2018,High,Americas,Mexican nuevo peso,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,true,0.079138916
Panama,PA,PAN,2010,3643222,High income,,,,SEDLAC,1.1,2.2,3.4,4.5,5.6,7,8.8,11.4,16.4,39.6,3.3,7.9,12.6,20.2,56,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Per capita,All,All,All,,,1
Paraguay,PY,PRY,2010,6209877,Upper middle income,11091144,,,SEDLAC,1.2,2.4,3.4,4.5,5.7,7,8.6,10.9,15.1,41.1,3.6,7.9,12.7,19.5,56.2,,,New 2018,High,Americas,Local currency unit,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.000211173
Peru,PE,PER,2010,29373646,Upper middle income,6456,,,SEDLAC,1.5,2.8,4,5.2,6.5,7.9,9.7,12.1,16.1,34.2,4.3,9.2,14.4,21.8,50.3,,,New 2018,High,Americas,Local currency unit,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.353966639
Uruguay,UY,URY,2010,3374415,High income,115488,,,SEDLAC,2,3.1,4.1,5.1,6.3,7.7,9.5,12.1,16.5,33.7,5.1,9.2,14,21.6,50.2,,,New 2018,High,Americas,Local currency unit,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,0.04985225
Argentina,AR,ARG,2010,40895752,Upper middle income,,,,SEDLAC,1.89,3.38,4.59,5.76,7.04,8.52,10.29,12.68,16.62,29.24,5.27,10.34,15.56,22.97,45.85,,,New 2019,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,Urban,All,All,,,
Colombia,CO,COL,2010,45918097,Upper middle income,,,,SEDLAC,1.3,2.5,3.4,4.3,5.3,6.7,8.4,10.9,15.7,41.6,3.8,7.7,12,19.3,57.3,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.000526712
Costa Rica,CR,CRI,2010,4545280,Upper middle income,,,,SEDLAC,1.8,3.1,4.1,5,6,7.2,8.9,11.5,16.6,35.8,4.9,9.1,13.2,20.4,52.4,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.001901758
Costa Rica,CR,CRI,2010,4545280,Upper middle income,,,,SEDLAC,1.5,2.9,3.8,4.8,5.8,7,8.8,11.5,16.7,37.2,4.4,8.6,12.8,20.3,53.9,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.001901758
Dominican Republic,DO,DOM,2010,9897985,Upper middle income,,,,SEDLAC,2,3.1,4.1,5,6.1,7.5,9.2,11.7,16.1,35,5.1,9.1,13.6,20.9,51.1,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.026804924
Ecuador,EC,ECU,2010,14934690,Upper middle income,,,,SEDLAC,1.6,3,4,5,6.2,7.5,9.2,11.7,16.1,35.7,4.6,9,13.7,20.9,51.8,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,1
El Salvador,SV,SLV,2010,6164626,Lower middle income,,,,SEDLAC,2.1,3.5,4.6,5.6,6.8,8.1,9.7,12,15.9,31.8,5.6,10.2,14.9,21.7,47.7,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,1
Honduras,HN,HND,2010,8194778,Lower middle income,,,,SEDLAC,1.2,2.2,3.2,4.4,5.6,7.1,9.1,11.9,16.8,38.6,3.4,7.6,12.7,21,55.4,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.052923774
Mexico,MX,MEX,2010,117318941,Upper middle income,,,,SEDLAC,1.8,3.3,4.3,5.3,6.3,7.5,9.1,11.4,15.6,35.3,5.1,9.6,13.8,20.5,50.9,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,true,0.079138916
Panama,PA,PAN,2010,3643222,High income,,,,SEDLAC,1.3,2.5,3.7,4.8,6,7.3,9,11.5,16.1,37.8,3.8,8.5,13.3,20.5,53.9,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,1
Paraguay,PY,PRY,2010,6209877,Upper middle income,,,,SEDLAC,1.3,2.6,3.7,4.8,6,7.2,8.8,11,15,39.5,3.9,8.5,13.2,19.8,54.5,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.000211173
Peru,PE,PER,2010,29373646,Upper middle income,,,,SEDLAC,1.6,3,4.2,5.4,6.7,8.1,9.8,12.2,15.9,32.9,4.6,9.6,14.8,22,48.8,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.353966639
Uruguay,UY,URY,2010,3374415,High income,,,,SEDLAC,2.3,3.5,4.4,5.4,6.5,7.8,9.5,11.9,16.2,32.4,5.8,9.8,14.3,21.4,48.6,,,New 2018,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.04985225
Venezuela,VE,VEN,2010,29028033,Upper middle income,,,,SEDLAC,2.3,4,5.2,6.3,7.5,8.9,10.5,12.6,15.8,26.9,6.3,11.5,16.4,23.1,42.7,,,New 2013,High,Americas,,,Income (net/gross),,Household,Person,Equivalized,All,All,All,,,0.387287622
Argentina,AR,ARG,2010,40895752,Upper middle income,8013.4,5944.46,,World Bank,1.33,2.8,4,5.23,6.64,8.26,10.12,12.64,16.99,32,4.14,9.23,14.89,22.76,48.99,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,Urban,All,All,,,
Canada,CA,CAN,2010,34147568,High income,20430.58,17122.14,,World Bank,2.73,4.42,5.67,6.73,7.81,8.97,10.42,12.32,15.2,25.73,7.15,12.4,16.78,22.74,40.93,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,true,
Colombia,CO,COL,2010,45222700,Upper middle income,4663.1,2624.38,,World Bank,1.09,2.2,3.07,3.98,5.02,6.36,8.15,10.81,15.83,43.5,3.28,7.05,11.38,18.96,59.33,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Costa Rica,CR,CRI,2010,4577371,Upper middle income,7570.77,4842.51,,World Bank,1.57,2.88,3.82,4.72,5.75,7.1,8.85,11.51,16.7,37.1,4.45,8.54,12.85,20.35,53.8,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Dominican Republic,DO,DOM,2010,9695117,Upper middle income,4542.22,2982.21,,World Bank,1.8,2.84,3.79,4.71,5.82,7.3,9.16,11.64,16.38,36.54,4.64,8.5,13.13,20.81,52.92,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Ecuador,EC,ECU,2010,15011114,Upper middle income,4342.45,2800.02,,World Bank,1.43,2.73,3.71,4.7,5.83,7.19,8.94,11.6,16.39,37.48,4.16,8.41,13.02,20.54,53.87,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
El Salvador,SV,SLV,2010,6183877,Lower middle income,3310.86,2360.51,,World Bank,1.93,3.21,4.27,5.35,6.5,7.85,9.57,11.92,16.15,33.23,5.14,9.62,14.35,21.49,49.38,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Honduras,HN,HND,2010,8317467,Lower middle income,3392.42,2009.95,,World Bank,1.07,2.05,3,4.07,5.26,6.79,8.86,11.77,16.94,40.2,3.12,7.07,12.04,20.63,57.14,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Mexico,MX,MEX,2010,114092960,Upper middle income,4164.12,2742.37,,World Bank,1.63,3.02,4.01,4.95,5.98,7.24,8.93,11.36,15.78,37.09,4.66,8.96,13.22,20.29,52.87,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,true,
Panama,PA,PAN,2010,3642691,High income,6735.57,4216.4,,World Bank,1.09,2.2,3.35,4.46,5.62,7.01,8.82,11.42,16.39,39.65,3.28,7.82,12.63,20.24,56.04,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Paraguay,PY,PRY,2010,6248017,Upper middle income,4978.21,3158.71,,World Bank,1.28,2.51,3.55,4.57,5.75,7.06,8.68,10.99,15.12,40.49,3.78,8.12,12.82,19.67,55.61,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Peru,PE,PER,2010,29027680,Upper middle income,4227.63,3024.26,,World Bank,1.52,2.79,3.99,5.19,6.45,7.92,9.66,12.11,16.12,34.22,4.32,9.18,14.38,21.77,50.34,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
United States,US,USA,2010,309011456,High income,22786.64,17832.91,,World Bank,1.66,3.47,4.66,5.84,7.11,8.58,10.32,12.63,16.36,29.38,5.13,10.49,15.7,22.95,45.74,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Uruguay,UY,URY,2010,3359273,High income,8138.2,5622.52,,World Bank,1.98,3.08,4.05,5.12,6.28,7.67,9.51,12.08,16.53,33.7,5.06,9.17,13.95,21.59,50.23,,,New 2019,Average,Americas,US$2011PPP,Year,Income (net/gross),,Household,Person,Per capita,All,All,All,,,
Canada,CA,CAN,2010,34147568,High income,31249,25088,,Luxembourg Income Study,2.27,3.89,5.09,6.22,7.39,8.7,10.27,12.35,15.6,28.22,6.16,11.31,16.1,22.61,43.82,0.84,18.05,New 2019,High,Americas,Canadian Dollar,Year,Income (gross),,Household,Person,Per capita,All,All,All,,true,
Colombia,CO,COL,2010,45222700,Upper middle income,4762222,2550000,,Luxembourg Income Study,0.87,1.9,2.79,3.71,4.75,6.08,7.9,10.54,15.76,45.7,2.77,6.5,10.82,18.44,61.46,0.26,33.35,New 2019,High,Americas,Colombian peso,Year,Income (gross),,Household,Person,Per capita,All,All,All,,,
Panama,PA,PAN,2010,3642691,High income,3010,1880,,Luxembourg Income Study,0.91,1.95,3.13,4.31,5.57,6.99,8.92,11.64,16.71,39.87,2.86,7.44,12.56,20.56,56.58,0.32,27.37,New 2019,High,Americas,Panamanian balboa,Year,Income (gross),,Household,Person,Per capita,All,All,All,,,
Peru,PE,PER,2010,29027680,Upper middle income,5777,3933,,Luxembourg Income Study,0.71,1.96,3.26,4.64,6.05,7.68,9.65,12.39,16.76,36.9,2.67,7.9,13.73,22.04,53.65,0.19,25.15,New 2019,High,Americas,Peruvian nuevo sol,Year,Income (gross),,Household,Person,Per capita,All,All,All,,,
United States,US,USA,2010,309011456,High income,27751,20022,,Luxembourg Income Study,1.52,3.02,4.09,5.21,6.5,8.02,9.91,12.46,16.68,32.59,4.54,9.3,14.52,22.37,49.27,0.49,21.21,New 2019,High,Americas,United States dollar,Year,Income (gross),,Household,Person,Per capita,All,All,All,,,
Canada,CA,CAN,2010,34147568,High income,51650,43325,,Luxembourg Income Study,2.34,3.96,5.18,6.42,7.74,9.1,10.58,12.55,15.45,26.67,6.31,11.59,16.84,23.14,42.12,0.85,17.03,New 2019,High,Americas,Canadian Dollar,Year,Income (gross),,Household,Person,Equivalized,All,All,All,,true,
Canada,CA,CAN,2010,34168668,High income,56800,48200,,National statistical authority,2.4,4,5.2,6.5,7.8,9.2,10.6,12.6,15.5,26.4,6.4,11.7,17,23.2,41.9,,,New 2018,High,Americas,Canadian dollar 2016,Year,Income (gross),,Household,Person,Equivalized,All,All,All,,true,0.970720372
Canada,CA,CAN,2010,34168668,High income,,,,OECD,,,,,,,,,,,,,,,,,,New 2018,High,Americas,"Local currency units, at current prices",Year,Income (gross),,Household,Person,Equivalized,All,All,All,,true,1.030162783
Colombia,CO,COL,2010,45222700,Upper middle income,8922892,5135927,,Luxembourg Income Study,0.98,2.2,3.16,4.13,5.17,6.53,8.29,10.95,16.09,42.5,3.19,7.29,11.69,19.24,58.59,0.29,30.18,New 2019,High,Americas,Colombian peso,Year,Income (gross),,Household,Person,Equivalized,All,All,All,,,
Panama,PA,PAN,2010,3642691,High income,5797,3869,,Luxembourg Income Study,1.12,2.27,3.51,4.75,6.02,7.51,9.44,11.99,16.34,37.04,3.39,8.25,13.53,21.44,53.39,0.41,25.02,New 2019,High,Americas,Panamanian balboa,Year,Income (gross),,Household,Person,Equivalized,All,All,All,,,
Peru,PE,PER,2010,29027680,Upper middle income,12099,8559,,Luxembourg Income Study,0.72,2.07,3.44,4.82,6.31,7.91,9.91,12.59,16.99,35.24,2.79,8.26,14.22,22.5,52.23,0.19,23.61,New 2019,High,Americas,Peruvian nuevo sol,Year,Income (gross),,Household,Person,Equivalized,All,All,All,,,
United States,US,USA,2010,309011456,High income,45557,34914,,Luxembourg Income Study,1.7,3.29,4.42,5.58,6.91,8.47,10.31,12.64,16.31,30.38,4.98,10,15.38,22.95,46.69,0.56,19.57,New 2019,High,Americas,United States dollar,Year,Income (gross),,Household,Person,Equivalized,All,All,All,,,
United States,US,USA,2010,309011456,High income,,,,National statistical authority,,,,,,,,,,,3.44,9.19,15.04,23.12,49.21,,21,New 2019,High,Americas,,,Income (gross),,Household,Person,Equivalized,All,All,All,,,
United States,US,USA,2010,309011456,High income,38891.4,56873,,National statistical authority,,,,,,,,,,,3.3,8.5,14.6,23.4,50.3,,21.3,New 2019,High,Americas,United States dollar 2018,Year,Income (gross),,Household,Household,No adjustment,All,All,All,,,
Barbados,BB,BRB,2010,279569,High income,,,,Research study,1.4,2.9,3.9,4.8,5.7,6.9,8.4,11,15,39.9,4.3,8.7,12.6,19.4,54.9,,,New 2013,High,Americas,,,Consumption,,Household,Person,Per capita,All,All,All,,,0.5
Barbados,BB,BRB,2010,282131,High income,,,,Other international organizations,,,,,,,,,,,,,,,,,,New 2019,High,Americas,,,Consumption,,Household,Person,Per capita,All,All,All,,,
